sid,model_name,holdout_celltype,spearman,pearson,precision,edistance_cells,edistance_latents,edistance_local,mixing_index
120,baseline,Endothelial,0.591499287482187,0.665668733955578,0.165,7.813582381519959,,10.562345340912668,0.5698792394847353
120,baseline,Epithelial,0.47202280057001433,0.20582599861098233,0.03,6.2241205602978456,,5.466480091385686,0.9254637863979058
120,baseline,Fibroblast,0.40460661516537927,0.14325742899188254,0.15,8.479629915603958,,10.999038398215115,0.6268850506268419
120,baseline,Myeloid,0.45233480837020934,0.39618759295142614,0.195,10.854123524613666,,14.149104696749072,0.7038823444038607
120,baseline,T_cell,0.6309187729693244,0.6127467309564857,0.335,17.86564692006699,,20.198926212457884,0.8069969187517232
120,cellina-ablated,Endothelial,0.5681587039675993,0.7110072470679284,0.175,10.074150371751546,0.31279420852661133,3.5627222706492345,0.6192798879069878
120,cellina-ablated,Epithelial,0.7510327758193955,0.723311462017012,0.255,17.089959320222825,0.2939785003662109,9.204652389188642,0.93268638505296
120,cellina-ablated,Fibroblast,0.6050386259656492,0.6081240743387656,0.27,12.154683519256277,0.20013885498046874,6.939596226262614,0.6803795485160283
120,cellina-ablated,Myeloid,0.6807740193504839,0.7058402421080618,0.275,10.345947751116437,0.2140871047973633,3.639535885728243,0.8909603936862426
120,cellina-ablated,T_cell,0.7952418810470262,0.8259101015938591,0.45,7.701578271605413,0.25860118865966797,1.477816475908749,0.8293673887938324
120,cellina,Endothelial,0.5822425560639016,0.796603904773654,0.205,10.14421894292308,0.401315975189209,4.001700162347697,0.6494408390380948
120,cellina,Epithelial,0.822547063676592,0.8108186986477228,0.245,17.91787899919519,0.3883522033691406,10.093980486297097,0.9393873592280131
120,cellina,Fibroblast,0.7077206930173257,0.657832736723308,0.245,12.473167303442537,0.2566505432128906,7.064543004750054,0.6516854440929121
120,cellina,Myeloid,0.783628590714768,0.8110342179780545,0.37,10.443891508806816,0.25071325302124026,3.723779907661264,0.88318984940339
120,cellina,T_cell,0.8653506337658442,0.8856004764067519,0.48,7.907236009338076,0.28536186218261717,1.711006364035634,0.8156932970551294
120,cellina-graph,Endothelial,0.7908283313325329,0.8054617343864385,,9.035324843707818,0.08164424896240234,12.617384045440465,0.5915619646034947
120,cellina-graph,Epithelial,0.7555822328931572,0.7547074472461487,,7.899188784688119,0.09763164520263672,9.883698278031595,0.49717544862644547
120,cellina-graph,Fibroblast,0.47092436974789914,0.43583986936604796,,8.446431632138005,0.09074230194091797,12.44330257880393,0.5897856579387495
120,cellina-graph,Myeloid,0.43270108043217287,0.451160892312766,,9.143924694168252,0.09170722961425781,13.544914403646507,0.5144342132802542
120,cellina-graph,T_cell,0.8245378151260503,0.8198633276798646,,11.986210639805787,0.09752178192138672,15.93003555267309,0.7209529316903102
120,cpa,Endothelial,0.35202280057001434,0.45783116068249097,0.185,10.347624716354957,10.708256244659424,4.031251977779153,0.6248369084407167
120,cpa,Epithelial,0.23470186754668868,0.24565078050316366,0.15,17.67197349577483,12.178925704956054,9.358598453205472,0.8992697049251428
120,cpa,Fibroblast,0.2714842871071777,0.2483416747351218,0.12,12.158707608610758,9.46303586959839,6.231832778841229,0.6140016418991107
120,cpa,Myeloid,0.6806885172129306,0.6918302230900996,0.29,10.143084871706478,9.75284185409546,3.2282594748189126,0.9073936907046706
120,cpa,T_cell,0.5039270981774545,0.5398554056575869,0.115,7.612362519356276,11.41225814819336,2.042001218318145,0.7961131212855455
120,scgen,Endothelial,0.12102452561314034,-0.11655388513330774,0.165,9.3487063085216,,5.655886372051152,0.5015690757415704
120,scgen,Epithelial,0.28739218480462014,0.19997304486489847,0.335,14.686681978974502,,11.26023386258604,0.37416257967938377
120,scgen,Fibroblast,-0.005800645016125403,-0.32892182733654746,0.22,12.343851477497267,,9.922855677929471,0.6118367949710157
120,scgen,Myeloid,-0.17222080552013802,-0.21365893673879066,0.285,7.934816486030539,,3.888628965743601,0.5470945891505271
120,scgen,T_cell,0.31503487587189677,0.22137687974239068,0.35,3.98744457272869,,1.3754144998830342,0.803232138449689
210,baseline,Endothelial,0.691454286357159,0.887077409777316,0.17,9.58352720129593,,13.296002574120351,0.5522841562353842
210,baseline,Epithelial,0.49951098777469444,0.3689041704343985,0.05,6.027485477337993,,8.677457829797595,0.7814886532204042
210,baseline,Fibroblast,0.47092777319432993,0.39864991410458983,0.065,6.507334483538794,,10.07677080501992,0.6942254090185969
210,baseline,Myeloid,0.3546163654091352,0.3613553765619325,0.115,8.466572391171487,,12.892523407502074,0.8320263543247876
210,baseline,T_cell,0.6885712142803572,0.7402370282429905,0.235,13.80228545171305,,15.956059874139791,0.9846440280648446
210,cellina-ablated,Endothelial,0.7354053851346285,0.9292293071908159,0.27,7.0327680089846325,0.18899049758911132,0.9684239679330238,0.6380061559165665
210,cellina-ablated,Epithelial,0.3297817445436137,0.3774204597889489,0.145,9.544198438060358,0.06395845413208008,4.4756877588384105,0.9133007133898126
210,cellina-ablated,Fibroblast,0.5034860871521788,0.6191123436844161,0.315,10.79221941083056,0.21257362365722657,3.7058599552732736,0.7416676975921135
210,cellina-ablated,Myeloid,0.45708542713567846,0.458614510448293,0.175,8.165932072591346,0.187087345123291,3.031221560243635,0.836602957385264
210,cellina-ablated,T_cell,0.7418090452261307,0.7795552306195668,0.245,4.304927083253842,0.17360925674438477,0.7332459304239409,0.9760083050298104
210,cellina,Endothelial,0.7108677716942925,0.910663321672116,0.28,7.21718227986906,0.30209102630615237,1.0240455241306339,0.992990384701382
210,cellina,Epithelial,0.6550498762469061,0.6906117025969097,0.18,9.661312031914939,0.3415682792663574,4.852484889524229,0.9920968651284098
210,cellina,Fibroblast,0.6618105452636317,0.7246222599637788,0.295,10.795543570103224,0.34555940628051757,4.299245166613509,0.7342408928004779
210,cellina,Myeloid,0.7705377634440862,0.7691871622982975,0.36,8.420643705354063,0.3795525550842285,3.6146774937544692,0.8403716908522407
210,cellina,T_cell,0.6906412660316509,0.7271150558601611,0.275,4.623761701844858,0.2250387191772461,0.8302569052524508,0.9897864034125566
210,cellina-graph,Endothelial,0.4490302257556439,0.7325142992412711,0.155,6.351736950878527,0.08432178497314453,3.9211285672331977,0.9849855821815651
210,cellina-graph,Epithelial,0.4883477086927174,0.40829603800518655,0.34,9.064807286022305,0.1050018310546875,4.549251636065999,0.7495132380294507
210,cellina-graph,Fibroblast,0.23794944873621846,0.15221839538256693,0.235,17.364665686324084,0.09776229858398437,22.763753695618668,0.6649570179874303
210,cellina-graph,Myeloid,0.5561269031725794,0.5633947822616157,0.315,8.170638302477304,0.1279754638671875,4.289196746925159,0.8420833437660418
210,cellina-graph,T_cell,0.24736368409210235,0.2721934492027893,0.085,3.6604833179061615,0.09915046691894532,3.1806282744017005,0.3060731820416685
210,cpa,Endothelial,0.40883072076801924,0.795500880480989,0.165,6.909883715731221,10.247049808502197,1.0203596707006015,0.6620463095803655
210,cpa,Epithelial,0.36659416485412144,0.41576875183645007,0.11,9.485635898271873,11.77289171218872,4.722304524235429,0.569115995108562
210,cpa,Fibroblast,0.4781894547363685,0.5784207450804688,0.215,10.53037749572168,9.416890811920165,4.495958239943464,0.7140783763313623
210,cpa,Myeloid,0.33711392784819627,0.3615586717139504,0.095,8.103490946892048,10.139720249176026,2.3788418349483877,0.8311737278717573
210,cpa,T_cell,0.606220655516388,0.6276223987639462,0.19,4.268091139638574,10.030110073089599,0.7035318791105111,0.9715821311479229
210,scgen,Endothelial,0.5973584339608491,0.8560291045650703,0.185,2.416180059076495,0.19578266143798828,1.466228555603282,0.8586366244154352
210,scgen,Epithelial,0.21480537013425338,0.20929694523149012,0.075,4.040026284277535,0.46407318115234375,3.305555472740751,0.7513716148714755
210,scgen,Fibroblast,0.4099392484812121,0.4259876531135709,0.315,3.0985210728237016,0.21638765335083007,2.616025301223864,0.8866849573703477
210,scgen,Myeloid,0.22172654316357912,0.13986546641688702,0.23,3.149773510611243,0.19571237564086913,3.6214201833959563,0.7991728252762899
210,scgen,T_cell,0.5018795469886749,0.43466979353392626,0.105,0.996314930147492,0.15527629852294922,1.3001249579517355,0.9537549895257824
221,baseline,Endothelial,0.7540328508212706,0.7688811494418073,0.335,9.615370118449176,,11.75038231328289,0.8399377754731657
221,baseline,Epithelial,0.5840996024900623,0.46294201671775354,0.05,6.871758666672759,,8.759041929440937,0.6984485718130338
221,baseline,Fibroblast,0.6725733143328585,0.5909165978538841,0.29,6.762145230060487,,10.490861354181328,0.5165600846461457
221,baseline,Myeloid,0.6777064426610666,0.7902800925691997,0.34,9.209254847951538,,11.757634944423518,0.7795918566122869
221,baseline,T_cell,0.6265191629790745,0.7344941476023903,0.44,15.644363345450518,,18.242720210449882,0.8535855114082932
221,cellina-ablated,Endothelial,0.5633105827645692,0.7355677309055493,0.16,6.152054615100596,0.19300642013549804,1.053839414801406,0.8082240082966036
221,cellina-ablated,Epithelial,0.6047851196279908,0.7086011407145208,0.185,11.412566641946146,0.1620427131652832,5.634104519871352,0.7348624251535725
221,cellina-ablated,Fibroblast,0.3741303532588315,0.5884830789595741,0.23,11.854537111262351,0.18548145294189453,5.031445388655947,0.5536262450825525
221,cellina-ablated,Myeloid,0.5838550963774095,0.7336073829391574,0.24,6.589995264744085,0.2572633743286133,0.8504837092201557,0.9986819073638816
221,cellina-ablated,T_cell,0.5603225080627016,0.680954160995386,0.22,5.07171940788002,0.1428441047668457,0.6518778985312152,0.8319370995539821
221,cellina,Endothelial,0.7839810995274884,0.838748560965387,0.45,6.679413165132405,0.412210750579834,1.2319243827091024,0.7753798288825512
221,cellina,Epithelial,0.6419635490887273,0.69624448618249,0.21,11.864977724384971,0.3269454002380371,5.709322367842637,0.7317805031240427
221,cellina,Fibroblast,0.6265221630540765,0.7988674634857497,0.395,11.98535865660077,0.3904707908630371,4.046352121262177,0.5750894629689834
221,cellina,Myeloid,0.698633465836646,0.8167412378784,0.36,6.936129279613398,0.40588865280151365,1.0882836148041595,0.9919605139565363
221,cellina,T_cell,0.701396534913373,0.7772220429773968,0.405,5.315124760115728,0.1880326271057129,0.7476709466985675,0.8234864399716393
221,cellina-graph,Endothelial,0.5784639615990401,0.3398485206667169,0.355,6.740826463770044,0.10791206359863281,2.5586231291745785,0.13168265491314493
221,cellina-graph,Epithelial,0.6855111377784445,0.48655285440868373,0.43,11.964191389336472,0.0903238296508789,5.565606756990065,0.7224913058968494
221,cellina-graph,Fibroblast,0.079159978999475,-0.23412954278801082,0.28,13.041306855290353,0.10882644653320313,7.063417153583709,0.46449751562750446
221,cellina-graph,Myeloid,-0.010968274206855174,-0.17184095657890863,0.12,6.788166712907338,0.12384452819824218,2.8212761543762825,0.25377119595886544
221,cellina-graph,T_cell,-0.2657526438160954,-0.5027738127453156,0.105,6.388905772897587,0.10259456634521484,1.4145255277656028,0.156736356838802
221,cpa,Endothelial,0.644729618240456,0.7404922871802687,0.345,5.667421410497892,12.548799991607666,1.3224689281747903,0.8831890070002593
221,cpa,Epithelial,0.45841446036150907,0.4817331875217874,0.165,11.70665784188722,12.905133247375488,5.486943185917122,0.7197824005783299
221,cpa,Fibroblast,0.4846531163279082,0.5174516961847244,0.245,11.553971714405375,11.451897716522216,4.307984843186301,0.6339508563387509
221,cpa,Myeloid,0.6739083477086929,0.7442301810817943,0.235,6.353777243396614,12.500228691101075,1.1370690255911806,0.5891405831959077
221,cpa,T_cell,0.4392079801995051,0.5590797315646298,0.225,5.305525187483604,12.157671928405762,0.6565607625823346,0.7926140698264216
221,scgen,Endothelial,0.6717482937073427,0.70586498827817,0.415,1.6308512649451026,0.5685830116271973,2.3803452319923437,0.8884262380088152
221,scgen,Epithelial,0.31297682442061053,0.2591747933678318,0.235,3.7436655002725985,0.5841411590576172,3.283368453784859,0.8768651718418888
221,scgen,Fibroblast,0.46776119402985084,0.5766393524336543,0.44,2.9275856865720855,0.591376781463623,3.229758849228978,0.8881264348651541
221,scgen,Myeloid,0.39481887047176184,0.512185531900149,0.23,1.8254413185623584,0.6199164390563965,1.8270995943997392,0.9674026834974223
221,scgen,T_cell,0.26123453086327164,0.3477768120442075,0.21,1.1461068270690769,0.39802260398864747,1.7345608505072891,0.9395029821763036
231,baseline,Endothelial,0.48079051976299414,0.29342063135221047,0.215,3.0606544192684515,,5.10772899711136,0.947754491017964
231,baseline,Epithelial,-0.12908422710567766,-0.1412013585659636,0.215,1.2021313851971727,,1.3915466326532056,0.8048575302461837
231,baseline,Fibroblast,0.22856971424285608,0.002902805918912628,0.24,7.554346669506231,,10.81607906412877,0.931335303712818
231,baseline,Myeloid,0.36561314032850833,0.27129561324354534,0.16,3.271833650318064,,5.277671878917259,0.9531702750116552
231,baseline,T_cell,0.4206825170629266,0.26411778137038033,0.205,2.397155208772703,,4.162334792676154,0.9865910269085563
231,cellina-ablated,Endothelial,0.6392274806870173,0.662570183465216,0.275,3.1815837734451007,0.08049688339233399,0.5874170210940655,0.9982837722613026
231,cellina-ablated,Epithelial,-0.16503262581564543,-0.20311220485348613,0.135,10.06683686502417,0.06133546829223633,4.08080638497703,0.8915192171167474
231,cellina-ablated,Fibroblast,-0.2603300082502063,-0.29461798858285804,0.265,5.603668102423289,0.0651580810546875,0.3475054329755574,0.930858261485827
231,cellina-ablated,Myeloid,0.5091922298057452,0.5442841355662761,0.205,3.721923188410854,0.10339927673339844,0.4422149745620459,0.9078272694590849
231,cellina-ablated,T_cell,0.21267831695792394,0.24848174826674535,0.19,3.9947263038019862,0.07406730651855468,0.37804186475719137,0.9738041309949297
231,cellina,Endothelial,0.6309097727443187,0.6337890140900864,0.31,3.366412936337904,0.146368408203125,0.6823843333352348,0.9993527508090616
231,cellina,Epithelial,0.40886822170554266,0.4649012360952223,0.22,10.639008427004814,0.27703428268432617,4.99288350401003,0.7581583074406204
231,cellina,Fibroblast,-0.13525688142203557,-0.1465620919336333,0.2,5.823416837014528,0.07378273010253907,0.5341840058031075,0.9519803979936258
231,cellina,Myeloid,0.3630795769894248,0.41092894833175825,0.15,3.9635161841693574,0.15645418167114258,0.6084249364022143,0.9340021570039748
231,cellina,T_cell,0.14989124728118203,0.19158471667963295,0.185,4.325428282727446,0.08831558227539063,0.5224837399060777,0.9953628564804082
231,cellina-graph,Endothelial,0.28060265914082044,0.1365789704867522,0.165,3.0038205300113434,0.07079219818115234,3.199702092830859,0.137236207197256
231,cellina-graph,Epithelial,0.3407650191254782,0.468358923301249,0.235,12.188678371969537,0.07358989715576172,5.924742901471184,0.9259198667615687
231,cellina-graph,Fibroblast,-0.35288832220805527,-0.3881275556820193,0.34,4.831197002681528,0.0761098861694336,2.7131787413440622,0.9073385517216876
231,cellina-graph,Myeloid,0.4244731118277958,0.3635092029443087,0.105,3.598867627606006,0.07664546966552735,1.3722640984784502,0.9396500648498545
231,cellina-graph,T_cell,-0.10557413935348384,-0.2308660369365726,0.2,3.1440147298269814,0.08283157348632812,2.4534117479033863,0.9343120458552249
231,cpa,Endothelial,0.3928283207080178,0.39919808877675944,0.165,3.135239319775638,9.660413265228271,0.5009645890438545,0.9386370462957581
231,cpa,Epithelial,-0.2241206030150754,-0.18076713737260658,0.18,11.216807621718232,10.262630367279053,4.348547400682935,0.4215063080278595
231,cpa,Fibroblast,0.24698867471686795,0.2314647507782091,0.145,5.492923490732932,8.943342876434325,0.24888776264654294,0.9253479882238088
231,cpa,Myeloid,0.04190504762619066,0.06668799499306066,0.115,3.764281628633222,9.4068603515625,0.48164680889872036,0.6917114772174394
231,cpa,T_cell,0.2844761119027976,0.3200750271800047,0.165,4.168138486214038,9.314199447631836,0.2786620015564828,0.9690558710174156
231,scgen,Endothelial,0.4658996474911873,0.2912942262172698,0.095,1.612061662094541,0.1350945472717285,1.6815886654851482,0.9247139216712207
231,scgen,Epithelial,0.19578339458486466,0.04422037988007414,0.1,2.643302832343132,0.20121517181396484,2.383613729735546,0.7665435645194124
231,scgen,Fibroblast,-0.3085277131928299,-0.46954787934305353,0.285,1.1480298128429562,0.13702430725097656,0.9458689377823291,0.8981543591605723
231,scgen,Myeloid,0.3928793219830496,0.27627008360478844,0.17,2.3268422852467325,0.1658304214477539,1.403630127050588,0.5455111324524932
231,scgen,T_cell,0.09276981924548115,-0.17704661353672912,0.14,1.4025237931106285,0.16494665145874024,1.5054801649789822,0.9735609543766324
232,baseline,Endothelial,0.7151428785719643,0.638131148018603,0.245,10.273806580526115,,13.708163235834224,0.9639219433523388
232,baseline,Epithelial,0.2527908197704943,0.2269420769700118,0.16,4.359388036416507,,5.534519227767793,0.6437093109351925
232,baseline,Fibroblast,0.49418735468386715,0.5065378597991463,0.185,5.195781085269731,,8.760653977153318,0.656021577163375
232,baseline,Myeloid,0.7263091577289433,0.7947493621373295,0.285,9.55856554014734,,12.862480982003769,0.8506691302220373
232,baseline,T_cell,0.6658561464036602,0.8558251561678444,0.235,14.176488537262605,,17.119278650102682,0.9953455066237021
232,cellina-ablated,Endothelial,0.7054361359033977,0.7783483303949976,0.435,6.318120494779396,0.05728349685668945,0.9676812155934726,0.7450764845579934
232,cellina-ablated,Epithelial,0.12468611715292884,0.14134520297238204,0.1,12.57119927638077,0.061674880981445315,5.064280465830202,0.7164398604544903
232,cellina-ablated,Fibroblast,0.4102842571064277,0.4871211264911866,0.285,12.900885139184751,0.057565498352050784,4.312230949278872,0.6596987754329149
232,cellina-ablated,Myeloid,0.7484302107552689,0.8773264925475833,0.405,6.783039331412051,0.05699901580810547,1.0371331929234267,0.8513136024594538
232,cellina-ablated,T_cell,0.8114392859821498,0.9497107554939412,0.42,4.05571579047834,0.05394124984741211,0.4684725222117702,0.9957035445757251
232,cellina,Endothelial,0.7600945023625592,0.8255278536337577,0.395,6.662337524535405,0.6626718521118165,1.112857905385499,0.741107613560652
232,cellina,Epithelial,0.39127878196954935,0.3757279150112017,0.165,13.181941523593206,1.0105361938476562,6.094380765256294,0.6817339545016429
232,cellina,Fibroblast,0.4846621165529139,0.5311545209668835,0.215,13.26449314068906,0.8259922981262207,5.145739109149186,0.6572602077796569
232,cellina,Myeloid,0.7620370509262733,0.8976565066725548,0.39,6.894803600663029,1.4248421669006348,1.245311141188796,0.8537719025870215
232,cellina,T_cell,0.8256071401785047,0.9575253928069606,0.42,4.416771767986195,0.3723454475402832,0.6587353870944291,0.9953455066237021
232,cellina-graph,Endothelial,0.533975849396235,0.4618713065735236,0.38,5.524699431001922,0.0862569808959961,2.5451506905834944,0.7705162673763822
232,cellina-graph,Epithelial,0.040621015525388146,-0.0626800500443552,0.27,12.89233302011001,0.0903900146484375,6.476159836351762,0.5359429018770029
232,cellina-graph,Fibroblast,-0.02957323933098328,-0.2354510640295492,0.365,12.341295546993468,0.09734516143798828,5.804210598621818,0.6439719739067408
232,cellina-graph,Myeloid,0.613041326033151,0.6264773128340261,0.345,6.039978231493043,0.09505138397216797,2.646330681391251,0.820059582919563
232,cellina-graph,T_cell,0.716978924473112,0.8854478355662415,0.355,3.3578337745137405,0.07254257202148437,1.9551200970105687,0.9963773990231644
232,cpa,Endothelial,0.5418915472886823,0.5752394771763559,0.12,6.19237114903436,14.335238838195801,0.9081298685463679,0.9477567211579403
232,cpa,Epithelial,0.47745443636090906,0.46857410879078476,0.17,12.401010678458604,11.463163089752197,5.361805302842018,0.6829626357403651
232,cpa,Fibroblast,0.32579764494112357,0.3331334000166062,0.19,12.602221613169773,12.409992122650147,4.413155043395159,0.6759184127346993
232,cpa,Myeloid,0.6405850146253657,0.7158757593366013,0.23,6.725692805513775,14.06283483505249,0.8426024984879067,0.8538718803804155
232,cpa,T_cell,0.5916537913447837,0.8861360032616681,0.19,4.035460385886645,14.169365787506104,0.4385751438032277,0.9964196204797708
232,scgen,Endothelial,0.65668791719793,0.7315063252052172,0.315,2.9421041654806355,0.5746614456176757,2.119561251405995,0.8755187941104946
232,scgen,Epithelial,0.20235055876396912,0.1760014469125833,0.1,8.466019885910764,0.6729653358459473,5.03039722516499,0.8125865220466278
232,scgen,Fibroblast,0.5504837620940524,0.5690966523038883,0.37,6.468990730024039,0.5042487144470215,3.22508866306775,0.959152780012913
232,scgen,Myeloid,0.7023715592889823,0.7902091715322056,0.305,3.1880292772838454,0.2693905830383301,1.5819945308480676,0.4855186972893521
232,scgen,T_cell,0.7345458636465912,0.8988790677029885,0.215,2.4709746327375375,0.3227261543273926,1.2973452259018456,0.9710242587601078
242,baseline,Endothelial,0.42061801545038635,0.6004993496471516,0.18,3.4526242118909423,,6.115231497616655,0.7447872441188248
242,baseline,Epithelial,0.6582449561239032,0.36591208485637855,0.1,7.078023231517848,,8.187604342113639,0.5380301673702681
242,baseline,Fibroblast,0.5735423385584639,0.5703423871736578,0.14,1.5198127550192477,,3.1200147523394763,0.5552095398380845
242,baseline,Myeloid,0.6063451586289658,0.7788871564232936,0.28,4.654279451226343,,7.471989547072826,0.7662128515214839
242,baseline,T_cell,0.7144888622215557,0.8193746934541952,0.355,12.934566966450095,,16.11407236004941,0.9374671865192801
242,cellina-ablated,Endothelial,0.38870171754293864,0.5145890492514802,0.175,8.180077612553879,0.3334853172302246,2.3087355115302204,0.608343525099162
242,cellina-ablated,Epithelial,0.2745848646216156,0.3940583485149182,0.19,12.242212267122987,0.21837244033813477,6.769983304335265,0.7969710515399361
242,cellina-ablated,Fibroblast,0.6058486462161555,0.6429422606247354,0.235,12.143653258204072,0.30385141372680663,7.210208648351944,0.5759970749463744
242,cellina-ablated,Myeloid,0.6094787369684243,0.750616918084861,0.325,8.118578240974482,0.364334774017334,3.032806903081409,0.8523323831146669
242,cellina-ablated,T_cell,0.5741558538963475,0.6602375721013267,0.215,6.964444358078751,0.20947370529174805,0.3360357808274886,0.7945743754890957
242,cellina,Endothelial,0.4353318832970825,0.5142991468695997,0.24,8.498345895180785,0.4535696983337402,3.279812906042268,0.6371148384909762
242,cellina,Epithelial,0.738202955073877,0.7285674000741181,0.21,12.637561657067057,0.6715210914611817,6.0219502240314835,0.9370016063805552
242,cellina,Fibroblast,0.7054901372534316,0.7682879587728233,0.33,12.134687672497467,0.49889297485351564,7.087463046415683,0.597049245446344
242,cellina,Myeloid,0.6770089252231307,0.7486208778623032,0.36,8.757864039943971,0.4507420539855957,3.1143841845777436,0.9681682153761237
242,cellina,T_cell,0.6942038550963775,0.7664595613679172,0.33,7.103889496222718,0.40140810012817385,0.4615655628154345,0.8262320587851124
242,cellina-graph,Endothelial,0.22865821645541146,0.3681897518813545,0.155,7.694823039374356,0.11646862030029297,4.245263851428715,0.6492386086245603
242,cellina-graph,Epithelial,0.6369429235730893,0.593255644816765,0.2,20.473112812276643,0.16777324676513672,21.431909140276524,0.9437805990297882
242,cellina-graph,Fibroblast,0.5181609540238508,0.47081774602788357,0.15,17.169399999193253,0.11131706237792968,20.673338292089095,0.47938647483473235
242,cellina-graph,Myeloid,0.52977574439361,0.647578886281202,0.265,17.75396192139757,0.07432632446289063,22.21487529566518,0.9350790067720091
242,cellina-graph,T_cell,0.6644296107402685,0.795578007188211,0.325,4.974916825523732,0.09943981170654297,2.304781113949752,0.7002088734818527
242,cpa,Endothelial,0.2889732243306083,0.34475379581944243,0.22,7.894510164116953,11.587707614898681,2.568910318321047,0.6279551274275373
242,cpa,Epithelial,0.43156978924473116,0.4579290136127511,0.15,12.009632329047307,12.178600025177001,5.881305755395968,0.7414813388891763
242,cpa,Fibroblast,0.5297307432685818,0.6425172273307638,0.265,9.673762122725355,10.182931613922118,11.297634987161295,0.5733870677010414
242,cpa,Myeloid,0.5298237455936399,0.5848091398283548,0.265,7.931018236034579,11.35594367980957,2.9173158859197215,0.48605188226578433
242,cpa,T_cell,0.4773959348983725,0.5401034908581104,0.225,7.0667710875638665,10.012063694000243,0.2570417110041747,0.7781967063414544
242,scgen,Endothelial,0.10035250881272031,0.30227658085912656,0.195,1.302248520370012,0.3439000129699707,2.3070257259098215,0.6596423105619375
242,scgen,Epithelial,-0.24726168154203862,-0.34977684234722006,0.03,6.341131198378907,0.43836297988891604,6.329795444776783,0.4746755649592383
242,scgen,Fibroblast,0.15135828395709894,0.1958039076021414,0.195,2.7747805389197517,0.7058313369750977,4.012332681419375,0.6152501178864658
242,scgen,Myeloid,0.05408235205880148,0.15603210868481315,0.13,1.6149358878742217,0.35822381973266604,2.2431610131918243,0.5593798122170505
242,scgen,T_cell,0.30652966324158104,0.3705254693834623,0.165,1.474196546895887,0.347764778137207,1.5107325413690273,0.9844506581190752
231,mintflow,Fibroblast,0.0182953181272509,0.0307057852761967,0.28,0.0,0.0,,
231,mintflow,Endothelial,0.7588475390156062,0.750495045169572,0.18,0.0,0.0,,
231,mintflow,Myeloid,0.5366146458583434,0.3374194671727318,0.04,0.0,0.0,,
231,mintflow,T_cell,0.1387274909963985,0.1073795740714595,0.12,0.0,0.0,,
231,mintflow,Epithelial,0.1820408163265306,0.1212273195942865,0.08,0.0,0.0,,
210,mintflow,Fibroblast,0.4774549819927971,0.5307810346166016,0.12,0.0,0.0,,
210,mintflow,Endothelial,0.7512605042016807,0.936959937993022,0.22,0.0,0.0,,
210,mintflow,Myeloid,0.3974549819927971,0.6563285480913216,0.14,0.0,0.0,,
210,mintflow,T_cell,0.7201440576230491,0.7593992376888555,0.24,0.0,0.0,,
210,mintflow,Epithelial,0.6524369747899159,0.7146932093223568,0.04,0.0,0.0,,
242,mintflow,Fibroblast,-0.1363265306122449,-0.0470901458368952,0.16,0.0,0.0,,
242,mintflow,Endothelial,-0.2230492196878751,-0.0657588744899007,0.1,0.0,0.0,,
242,mintflow,Myeloid,0.1244177671068427,0.1249491725868466,0.16,0.0,0.0,,
242,mintflow,T_cell,0.1373829531812725,0.1802163388228233,0.02,0.0,0.0,,
242,mintflow,Epithelial,0.9405522208883552,0.9343194259772006,0.12,0.0,0.0,,
232,mintflow,Fibroblast,0.7642256902761104,0.8199691853186278,0.02,0.0,0.0,,
232,mintflow,Endothelial,0.7061224489795918,0.6769280490246471,0.04,0.0,0.0,,
232,mintflow,Myeloid,0.7915006002400959,0.8733939989526702,0.24,0.0,0.0,,
232,mintflow,T_cell,0.7278271308523409,0.9579337350719292,0.18,0.0,0.0,,
232,mintflow,Epithelial,0.8144537815126051,0.8151819758862732,0.1,0.0,0.0,,
221,mintflow,Fibroblast,0.2848979591836734,0.333430656722764,0.16,0.0,0.0,,
221,mintflow,Endothelial,0.2922929171668667,0.6592086872313204,0.22,0.0,0.0,,
221,mintflow,Myeloid,0.3209123649459784,0.4280563468293923,0.12,0.0,0.0,,
221,mintflow,T_cell,0.4164705882352941,0.550201695344179,0.24,0.0,0.0,,
221,mintflow,Epithelial,0.6008643457382953,0.7085798564973929,0.08,0.0,0.0,,
