cell_type,source_domain,target_domain,pearson,spearman,precision,rmse,method,brain_section
glutamatergic neuron,Thalamus,Isocortex,0.9053,0.806,0.62,10451.494,cellina,C57BL6J-2.036
glutamatergic neuron,Thalamus,Fiber_tracts,0.9467,0.8716,0.64,9924.204,cellina,C57BL6J-2.036
oligodendrocyte,Thalamus,Isocortex,0.6705,0.5485,0.43,5760.588,cellina,C57BL6J-2.036
oligodendrocyte,Thalamus,Fiber_tracts,0.7162,0.6629,0.68,5832.438,cellina,C57BL6J-2.036
astrocyte,Thalamus,Isocortex,0.4097,0.4728,0.37,3189.6836,cellina,C57BL6J-2.036
astrocyte,Thalamus,Fiber_tracts,0.4575,0.5323,0.48,3168.3372,cellina,C57BL6J-2.036
GABAergic neuron,Thalamus,Isocortex,0.921,0.6797,0.59,735.8662,cellina,C57BL6J-2.036
GABAergic neuron,Thalamus,Fiber_tracts,0.9382,0.7854,0.69,710.737,cellina,C57BL6J-2.036
endothelial cell,Thalamus,Isocortex,0.9895,0.8009,0.18,3378.777,cellina,C57BL6J-2.036
endothelial cell,Thalamus,Fiber_tracts,0.9905,0.8356,0.19,3383.9792,cellina,C57BL6J-2.036
glutamatergic neuron,Thalamus,Isocortex,0.9065,0.8859,0.28,9320.298,baseline,C57BL6J-2.036
glutamatergic neuron,Thalamus,Fiber_tracts,0.8578,0.8258,0.05,8831.837,baseline,C57BL6J-2.036
oligodendrocyte,Thalamus,Isocortex,0.2738,0.281,0.2,1727.9874,baseline,C57BL6J-2.036
oligodendrocyte,Thalamus,Fiber_tracts,0.5021,0.5719,0.4,1804.6062,baseline,C57BL6J-2.036
astrocyte,Thalamus,Isocortex,0.5572,0.629,0.22,1576.2637,baseline,C57BL6J-2.036
astrocyte,Thalamus,Fiber_tracts,0.5001,0.4485,0.21,1636.1483,baseline,C57BL6J-2.036
GABAergic neuron,Thalamus,Isocortex,0.7285,0.6733,0.15,1316.5377,baseline,C57BL6J-2.036
GABAergic neuron,Thalamus,Fiber_tracts,0.6149,0.4841,0.12,747.0257,baseline,C57BL6J-2.036
endothelial cell,Thalamus,Isocortex,0.8559,0.7702,0.16,738.5828,baseline,C57BL6J-2.036
endothelial cell,Thalamus,Fiber_tracts,0.9961,0.9989,0.01,5.8976,baseline,C57BL6J-2.036
glutamatergic neuron,Thalamus,Isocortex,0.8897,0.7658,0.54,12634.265625,cellina,C57BL6J-2.039
glutamatergic neuron,Thalamus,Fiber_tracts,0.9143,0.7883,0.59,12518.9951171875,cellina,C57BL6J-2.039
oligodendrocyte,Thalamus,Isocortex,0.7421,0.4921,0.4,6571.5927734375,cellina,C57BL6J-2.039
oligodendrocyte,Thalamus,Fiber_tracts,0.7765,0.5854,0.66,6605.634765625,cellina,C57BL6J-2.039
astrocyte,Thalamus,Isocortex,0.7953,0.807,0.48,3716.41845703125,cellina,C57BL6J-2.039
astrocyte,Thalamus,Fiber_tracts,0.8225,0.8197,0.64,3477.102294921875,cellina,C57BL6J-2.039
GABAergic neuron,Thalamus,Isocortex,0.8122,0.7427,0.39,1423.4146728515625,cellina,C57BL6J-2.039
GABAergic neuron,Thalamus,Fiber_tracts,0.8675,0.8404,0.6,1398.0404052734375,cellina,C57BL6J-2.039
endothelial cell,Thalamus,Isocortex,0.5805,0.462,0.3,3745.28125,cellina,C57BL6J-2.039
endothelial cell,Thalamus,Fiber_tracts,0.6282,0.5864,0.37,3765.6240234375,cellina,C57BL6J-2.039
glutamatergic neuron,Thalamus,Isocortex,0.8828,0.8471,0.16,7705.5185546875,baseline,C57BL6J-2.039
glutamatergic neuron,Thalamus,Fiber_tracts,0.6849,0.7046,0.03,11371.3681640625,baseline,C57BL6J-2.039
oligodendrocyte,Thalamus,Isocortex,0.4018,0.4486,0.23,2028.750244140625,baseline,C57BL6J-2.039
oligodendrocyte,Thalamus,Fiber_tracts,0.5891,0.3453,0.41,1460.5537109375,baseline,C57BL6J-2.039
astrocyte,Thalamus,Isocortex,0.5643,0.5743,0.26,1858.4134521484373,baseline,C57BL6J-2.039
astrocyte,Thalamus,Fiber_tracts,0.5497,0.5612,0.19,2198.975830078125,baseline,C57BL6J-2.039
GABAergic neuron,Thalamus,Isocortex,0.7258,0.6784,0.24,1005.9846801757812,baseline,C57BL6J-2.039
GABAergic neuron,Thalamus,Fiber_tracts,0.5799,0.5988,0.11,1130.2174072265625,baseline,C57BL6J-2.039
endothelial cell,Thalamus,Isocortex,0.6921,0.6829,0.17,1428.995849609375,baseline,C57BL6J-2.039
endothelial cell,Thalamus,Fiber_tracts,0.5178,0.4211,0.12,1510.2579345703125,baseline,C57BL6J-2.039
glutamatergic neuron,Thalamus,Isocortex,0.8693,0.8129,0.5,10093.94140625,cellina,C57BL6J-2.041
glutamatergic neuron,Thalamus,Fiber_tracts,0.9139,0.8493,0.58,9844.564453125,cellina,C57BL6J-2.041
oligodendrocyte,Thalamus,Isocortex,0.6954,0.2092,0.31,4558.509765625,cellina,C57BL6J-2.041
oligodendrocyte,Thalamus,Fiber_tracts,0.7437,0.2689,0.49,4862.65478515625,cellina,C57BL6J-2.041
astrocyte,Thalamus,Isocortex,0.5741,0.689,0.43,2576.52685546875,cellina,C57BL6J-2.041
astrocyte,Thalamus,Fiber_tracts,0.6087,0.7123,0.53,2281.03759765625,cellina,C57BL6J-2.041
GABAergic neuron,Thalamus,Isocortex,0.6009,0.6948,0.51,1183.894775390625,cellina,C57BL6J-2.041
GABAergic neuron,Thalamus,Fiber_tracts,0.6079,0.7127,0.52,1186.6346435546875,cellina,C57BL6J-2.041
endothelial cell,Thalamus,Isocortex,0.9928,0.8004,0.24,2915.564453125,cellina,C57BL6J-2.041
endothelial cell,Thalamus,Fiber_tracts,0.9945,0.8173,0.25,2944.926025390625,cellina,C57BL6J-2.041
glutamatergic neuron,Thalamus,Isocortex,0.8601,0.831,0.26,7043.0830078125,baseline,C57BL6J-2.041
glutamatergic neuron,Thalamus,Fiber_tracts,0.7843,0.7946,0.04,8771.0126953125,baseline,C57BL6J-2.041
oligodendrocyte,Thalamus,Isocortex,0.3041,0.1867,0.15,1382.3846435546875,baseline,C57BL6J-2.041
oligodendrocyte,Thalamus,Fiber_tracts,0.6287,0.174,0.36,1209.1839599609375,baseline,C57BL6J-2.041
astrocyte,Thalamus,Isocortex,0.6017,0.6217,0.31,1272.023681640625,baseline,C57BL6J-2.041
astrocyte,Thalamus,Fiber_tracts,0.5076,0.5559,0.19,1543.686279296875,baseline,C57BL6J-2.041
GABAergic neuron,Thalamus,Isocortex,0.6753,0.7033,0.22,767.3502807617188,baseline,C57BL6J-2.041
GABAergic neuron,Thalamus,Fiber_tracts,0.69,0.6066,0.13,803.6024780273438,baseline,C57BL6J-2.041
endothelial cell,Thalamus,Isocortex,0.824,0.8187,0.13,1057.5087890625,baseline,C57BL6J-2.041
endothelial cell,Thalamus,Fiber_tracts,0.9979,0.9954,0.0,9.261300086975098,baseline,C57BL6J-2.041
glutamatergic neuron,Thalamus,Isocortex,0.8354,0.8253,0.38,10122.3427734375,cpa,C57BL6J-2.041
glutamatergic neuron,Thalamus,Fiber_tracts,0.8814,0.85,0.41,10067.61328125,cpa,C57BL6J-2.041
oligodendrocyte,Thalamus,Isocortex,0.6906,0.0206,0.09,4443.2529296875,cpa,C57BL6J-2.041
oligodendrocyte,Thalamus,Fiber_tracts,0.7189,0.1977,0.08,4345.21044921875,cpa,C57BL6J-2.041
astrocyte,Thalamus,Isocortex,0.5369,0.6403,0.35,2744.45849609375,cpa,C57BL6J-2.041
astrocyte,Thalamus,Fiber_tracts,0.5624,0.6633,0.31,2764.64208984375,cpa,C57BL6J-2.041
GABAergic neuron,Thalamus,Isocortex,0.5517,0.5882,0.42,1139.0059814453125,cpa,C57BL6J-2.041
GABAergic neuron,Thalamus,Fiber_tracts,0.5501,0.5798,0.39,1143.6568603515625,cpa,C57BL6J-2.041
endothelial cell,Thalamus,Isocortex,0.994,0.7747,0.21,2731.30126953125,cpa,C57BL6J-2.041
endothelial cell,Thalamus,Fiber_tracts,0.9955,0.7823,0.22,2710.151123046875,cpa,C57BL6J-2.041
glutamatergic neuron,Thalamus,Isocortex,0.8917,0.8127,0.43,10563.6689453125,cpa,C57BL6J-2.036
glutamatergic neuron,Thalamus,Fiber_tracts,0.9069,0.8326,0.42,10663.7587890625,cpa,C57BL6J-2.036
oligodendrocyte,Thalamus,Isocortex,0.6589,0.6246,0.18,5413.0869140625,cpa,C57BL6J-2.036
oligodendrocyte,Thalamus,Fiber_tracts,0.6727,0.6035,0.18,5422.544921875,cpa,C57BL6J-2.036
astrocyte,Thalamus,Isocortex,0.3987,0.4212,0.26,3216.660888671875,cpa,C57BL6J-2.036
astrocyte,Thalamus,Fiber_tracts,0.4641,0.5207,0.25,3247.30517578125,cpa,C57BL6J-2.036
GABAergic neuron,Thalamus,Isocortex,0.9064,0.6326,0.5,710.906005859375,cpa,C57BL6J-2.036
GABAergic neuron,Thalamus,Fiber_tracts,0.918,0.6517,0.54,728.809814453125,cpa,C57BL6J-2.036
endothelial cell,Thalamus,Isocortex,0.9874,0.7404,0.17,3178.968505859375,cpa,C57BL6J-2.036
endothelial cell,Thalamus,Fiber_tracts,0.989,0.7471,0.2,3155.8857421875,cpa,C57BL6J-2.036
glutamatergic neuron,Thalamus,Isocortex,0.8749,0.7739,0.42,12548.9462890625,cpa,C57BL6J-2.039
glutamatergic neuron,Thalamus,Fiber_tracts,0.8731,0.7896,0.38,12772.5498046875,cpa,C57BL6J-2.039
oligodendrocyte,Thalamus,Isocortex,0.7415,0.5155,0.13,6061.83935546875,cpa,C57BL6J-2.039
oligodendrocyte,Thalamus,Fiber_tracts,0.7617,0.5029,0.08,6008.3447265625,cpa,C57BL6J-2.039
astrocyte,Thalamus,Isocortex,0.7218,0.713,0.31,3742.2607421875,cpa,C57BL6J-2.039
astrocyte,Thalamus,Fiber_tracts,0.7472,0.7645,0.28,3738.916748046875,cpa,C57BL6J-2.039
GABAergic neuron,Thalamus,Isocortex,0.794,0.6909,0.29,1385.3028564453125,cpa,C57BL6J-2.039
GABAergic neuron,Thalamus,Fiber_tracts,0.8025,0.6754,0.36,1403.4530029296875,cpa,C57BL6J-2.039
endothelial cell,Thalamus,Isocortex,0.5935,0.5035,0.29,3657.5107421875,cpa,C57BL6J-2.039
endothelial cell,Thalamus,Fiber_tracts,0.6082,0.5589,0.34,3631.8369140625,cpa,C57BL6J-2.039
